text,sentiment
bagus banget ttttttttt puas,Positif
you loss but you learn just a bith sayang that shi,Negatif
seru aplikasih hafal kosa ya,Positif
suka ajar duolingo seru giat ajar,Positif
pintar,Positif
ajar bahasa sangan senang,Positif
gem seru mudahmudahan lagih jawab suka gem,Netral
guna ajar bahasa mandarin,Positif
yey,Netral
nilai binggris sekolah a,Negatif
aplikasi bagus ulang sekolah ya ajar lamalama sore seru duolingo,Positif
bagus banget asikk gampang orang ajar bahasa inggris,Positif
lovee ittt bahasa jerman nih hilang runtunanya,Positif
pintar omong bahasa inggris tulis baca ajar unit terahir,Positif
bagus banget ajar bahasa,Positif
ajar ya ulang kayak,Positif
bantu ajar bahasa ajar bahasa inggris,Positif
bagus seru tambah level pintar anak,Positif
why did you remove the heart feature and replace with a charging system,Negatif
pelajaranya bikin bosan pokok seru deh kasih rating,Positif
totally useful,Netral
aplikasi bantu ajar bahasa asing mudah erti suara ya,Positif
alplikasi bagus suka,Positif
terimakasih duolingo ajar bahasa inggris jepang bahasa inggris jepang thankyou duolingo,Positif
bahasa inggris n a n a b,Netral
ajar b inggris,Positif
pintar bahasa aplikasi bagus anak anak ajar bahasa inggris,Positif
i was sok disappointed with the new update the energy system feels very restrictive i hope the they are able listen users like us and bring back the heart system back,Negatif
bagus bagikukarena bantu ajar bahasa,Positif
the best pokok nya,Negatif
rada belok,Netral
duolingo bantu ajar terima kasih duolingo ajar,Positif
update jelek dulunya pakai hati pakai baterai jawab kurang baterai mending balikin hati,Negatif
bagus ajar suka gaya ajar ajar bahasa inggris,Positif
bantu ajar bahasa asing,Positif
guna sih aplikasi,Positif
maaf bolos duolingo urus dah duo paksa minus,Positif
bahasa china,Positif
tolong tambah bahasa indonesia bahasa sistem bahasa inggris,Positif
bagus banget lop,Positif
i really like learning on duolingo its really fun,Negatif
this is the best,Negatif
bagus anak pintar pr kerjain duolingo mantap,Positif
ajar gampang,Positif
sih best bangetbisa ajar baca bahasa inggris,Positif
makasihhh ya pahaamm ajar korea matematika lumayan sulit garaa matematika nih wkwkwk susah hafal bahasa korea wkwk,Positif
keren latih,Netral
terima kasih apk baik bagi,Netral
aplikasi ya guna,Positif
aplikasi bagus cocok mula,Positif
aplikasi bantu tarik,Positif
bantu ajar,Positif
bahasa inggris ya,Positif
cocok anak anak ajar bahasa bahasa negeri seru main anak anak suka,Positif
bagus bagi,Positif
app lgbt anjir,Negatif
bagus suka hafal bahasabahasanya bagus banget mula,Positif
bagus jadiii pintarr,Positif
ku bagus sih tekat belajarr,Positif
jujur aplikasi bagus banget selip kampanye lgbt yapa,Positif
aplikasi tarik bahasa ajar,Positif
oke,Netral
bantu ajar bahasa matematika musik,Positif
aplikasi pro lgbt mu pakai app,Negatif
edukasi,Netral
nilai ulang bahasa inggris bagus,Positif
nice studies,Negatif
this application really helps me learning english,Negatif
keren bantu ajar,Positif
plis developers we have use energy please replace with heart okay its better use heart tahan energy,Negatif
ulang hafal kosakata duolingo im back learn again,Negatif
senang ajar gratis apk bayar ya,Positif
terimakasih suka ajar malas senang,Positif
konten ajar unsur lgbtq,Positif
bagus ajar bahasa inggris ya janlup kurang iklan ya,Positif
senang isi senggang ajar bahasa,Positif
cocok,Positif
mana letak kursus catur,Netral
suka karana duolingo cepat menghapal,Positif
lagu bisah nyanyi,Negatif
game ya bagus nilai sekolah game,Positif
seru erti bahasa inggris,Positif
bagus ajar bahasa dunia,Positif
bagus banget suka,Positif
seru isi luang ajar,Positif
cool,Negatif
tsuini nihongo hanaseru ya nih natta,Netral
good suka aplikasi bagus,Positif
this apk is really great i really like studying on this apk good luck,Negatif
bagus mula,Positif
seru ajar duolingo,Positif
bagus banget,Positif
ajar mudah paham,Positif
keren min,Netral
bagus aplikasi bantu,Positif
sebenrnya apknya bagus pakai tugas latihanya lesbi suka bikin nyaman sayang banget apknya pro lgbt,Positif
ajar bahasa inggris lancar bahasa inggris,Positif
lumayan bantu anakanak les,Positif
bahasa inggris,Positif
duolingo bantu ajar suka aplikasi,Positif
seru ajar duolingo,Positif
bantu ajar,Positif
senang ajar duolingo mudah erti,Positif
main seru bikin bosan,Positif
nyawa pakai batre pakai hati,Negatif
seru banget lancar bahasa mandarin nya,Positif
manfaat latih bahasa,Positif
aplikasi bagus,Positif
bagus banget,Positif
imut,Negatif
bagus duolingo,Positif
duolingo dukung lgbt sesal mendownload mu,Positif
tambah wawas,Netral
bagus tqpi rada sush lo omong,Positif
umur nilai uji sekolah,Netral
seru banget aplikasi bagus kayak main game cuman ajar bahasa minimal kayak,Positif
hati ganti energi,Negatif
we can learn pronounciation properly,Negatif
senang aplikasi terima kasih ajar bahasa inggris erti bahasa inggris,Positif
tolong hapus fitur quest ribet bikin malas ajar ngejar bahasa kayak ngejer ranked,Netral
i can speak english get better,Negatif
terima kasih,Netral
bagus banget,Positif
bantu ajar bahasa inggris,Positif
bagus banget kelas bahasa inggris good,Positif
bagus ajar bahasa,Positif
i likeeee is this,Negatif
bagus banget suka gampang paham jago bahasa inggris uji bahasa inggris nilai,Positif
mudah paham bagus ajar,Positif
duolingo bantu ajar bahasa inggris bahasa pilih temu aplikasi donload duolingo,Positif
ajar apa senang,Positif
kau suka,Netral
bagus,Positif
senang ajar duolingo ya ajar duolingo,Positif
bagus generasi anak bangsa,Positif
suka aplikasi tau baca bahasa inggris arti bahasa inggris,Positif
seru banget ajar,Positif
manfaat,Netral
bantu ajar bahasa,Positif
unsur lgbtq ya coba uninstal,Netral
bagus banget sih lasung lumayan bahasa inggris,Positif
level ajar,Positif
aplikasi bagus,Positif
bantu belimenggunakan energy tonton iklan bosan,Negatif
unsur lgbt ya,Netral
this is aplicasion very good i giving five star,Negatif
sok good,Negatif
main bagus,Positif
pakai energi abang balikin love,Negatif
please bring back the heart system,Negatif
bagus banyak omong biar lancar,Positif
bagus banget ganti kursus pakai wifi ganti putus pakai wifi sih senang the best deh,Negatif
bikin sedih,Netral
okeyyy,Netral
bantu ajar asik seru tingkat sulit beda,Positif
bosan ulang ya,Netral
ku kena upgred catur,Netral
catur duolingo,Positif
this good application sok good for help me learn a new word,Negatif
aplikasi ya senang mudah simpel,Positif
mudah cepat erti,Positif
rana runtuh hilang,Netral
bagus bgts,Positif
bagus gampang erti,Positif
overall good,Negatif
aplikasi bagusbisa ajar bahasa manapunsekarang lumayan nih,Positif
kembali hati hilang energi suka energi suka hati,Negatif
asah otak,Netral
aku pintar tetangga belah rumah,Netral
bagus,Positif
bagus banget nilai,Positif
seru bagus mangajari,Positif
mambantu ajar,Positif
bantu dasar,Positif
bagus,Positif
bikin pintar,Positif
bantu,Positif
omg omg bagus banget sih kata guna,Positif
bagus banget nih bahasa inggris,Positif
likes,Negatif
bagus banget lumayan les privat bahasa asing hehe,Positif
bayar super duolingo salah,Netral
seru,Positif
ajar mantab,Positif
lgbt,Netral
aplikasi duolingo senang seru mudah paham cocok mula,Positif
bagus banget plis,Positif
aplikasi bagus ajar bahasa mana les,Positif
seru ajar bagus ajar bahasa ya matematika,Positif
sangatt,Netral
suka tingkat pintar mate matika,Positif
bruhh this is the very the best experience,Negatif
aplikasi ya bagus,Positif
bagus ningkatin tahu,Positif
sangatt seru dann manfaat,Positif
cocok ajar bahasa inggris,Positif
suka bajar main game suka sekalihhhh,Netral
duolinggo bagus isi giat,Positif
duolingo nyaman ku,Positif
seru banget cikk,Positif
lumayan bagus bantu,Positif
senang ajar duolingo cepat erti,Positif
aplikasi ajar bahasa indonesia inggris jerman,Positif
bagus sih hilang lov ya,Positif
sehr hilfreich,Positif
ajar inggris rekomen donwload gratis bebas pilih bahasa seru deh pokok,Positif
bagus banget,Positif
duolingo bantu ajar bahasa inggris duolingo the best,Positif
hilang fitur energi,Negatif
aplikasi ajar bahasa asing,Positif
ajar cepat unik,Positif
bantu bahasa,Positif
bagus banget bis bahasa inggris keren,Positif
moga gratis biar ajar bahasa inggris,Positif
seru tau bahasa inggris,Positif
seru ajar senang banget diamond,Positif
bagus orang ajar bahasa,Positif
guna anak,Positif
bagus bantu,Positif
keren pakai ya duo kau tarik,Negatif
ajar pintar,Positif
seru,Positif
bagus,Positif
pintar bahasa china,Positif
bagus banget sih bahasa inggris berkat duolinggo,Positif
bantu banget,Positif
ya,Netral
bahasa inggris duolingo,Positif
gampang paham,Positif
senang ajar bahasa inggris duolinggo,Positif
guna pakai duolingo baca meng arti,Netral
sangatt suka game bantu syaa ajar bahasa inggris hidup hari,Positif
bagus mula ajar giat,Positif
thanks duolingo i can study many language good,Negatif
aplikasi bagus banget orang niat sungguh sungguh ajar bahasa inggris,Positif
manfaat,Netral
seru banget anak ajar bahasa pokok bagus banget duolingo,Positif
bantu lafal kalimat menghapal kosa trimakasih duolingo,Positif
well well well saran mending pakai baterai main enak pakai hati,Negatif
tambah game,Netral
thank you,Negatif
rating bagus latih bahasa negara,Positif
ajar ya santai,Positif
bahasa inggris,Positif
aplikasi bagus bikin ajar bahasa inggris,Positif
ajar ya seru banget bikin bosan,Positif
pintar bahasa jepang inggris,Positif
kokoro tomo desu,Netral
bagus mudah erti,Positif
terimakasih banget dikit dikit ber bahasa inggris the best banget nih,Positif
kasih dikit iklan tau bayar,Netral
tolong sistem ganti pakai hati pakai energi susah salah kurang energi,Negatif
mendonlod aplikasi bicara bahasa inggris cocok anak anak,Positif
aplikasi mantap banget woiip pintar ajar bhasa oanoanaoanksnsl makasiiii duolingo i like this apk,Positif
super good,Negatif
bagus dukung lgbt ya main lho,Positif
aplikasi ya bagus banget cocok sih ajar bahasa inggris jepang ya kasih rating bagus banget aplikasi ya,Positif
bagus banget i like itt,Netral
bantu ajar bahasa asing,Positif
keren,Netral
gamenya seru,Positif
update pakai energy hati suka sih cepat banget low nyayg mode hati cocok mula duo bagus,Negatif
sangan bantu banget mula ajar bahasa,Positif
sambung play store,Negatif
bagus,Positif
bagus,Positif
bagus seru banget,Positif
kuasa bahasal,Netral
asik banget dikit dikit iklan dikit dikit iklan dukung lgbt,Positif
bagus banget ajar langsung hafal hiragana,Positif
aplikasi ya bagus bahasa inggris bagus pokok bagus,Positif
lucu bagus,Positif
dulingo is the best learning english apps,Negatif
bagus cuman pakai timer cepat cepat,Netral
apkny lucu penuh batrenya,Negatif
kecewa bangettpadahal stengah jalan ikut duo lingo pas ngikuti ajar pro lgbt madu istri istri,Positif
ajar bijak,Positif
ya,Netral
ajar nyantai,Positif
thank you for the unnecessary battery feature,Negatif
senang,Positif
unsur lgbt bahaya banget anak,Positif
i want learn not help ai,Negatif
seruuuuu inigin main,Netral
gampang erti bembelajarn bahsaa,Positif
bagus nilai bahasa inggris ku,Positif
diupdate pakai energi mudah habis,Negatif
bagus betttt,Positif
pintar bahasa inggris thanks ya duolingo,Positif
bagus apalikasi ya main xp,Positif
tambah kayak chat ngechat ikut ikut pliss ya,Netral
malas ajar biaya mahal,Positif
ajar bahasa jepang apk duolingo,Positif
apk bagus banget ajar bahasa bimbing lancar,Positif
bagus banget sih keren minggu bahasa inggris ku mending keren,Positif
baik,Netral
salah aplikasi bagus ajar bahasa aplikasi bantu ajar bahasa,Positif
bantu ajar bahasa inggris,Positif
lumayannnn bagus kadang suka biking bingung gejala terimakasih,Positif
suka love itbanyak bahasaso manny,Negatif
bagus anak anak ajar bahasa inggris,Positif
bantu anak ajar bahasa keluar uang,Positif
tau bahasa asing aplikasi bagus mula,Positif
gambar ya sedih senang,Positif
apk bagus banget ajar bahasa negara pintar terimakasih duolingi,Positif
nice i can speak english well now,Negatif
keran mantap,Negatif
duolingo bagusdan bantu ajar bahasadan lumayan bahasa nyarekomendasi banget sih apk duolingo,Positif
seru ajar bahasa bikin pintar bahasa inggris,Positif
hati ya ganti energi ajar super batas banget suka ajar mending pakai hati,Negatif
suka banget batu ajar bahasa inggris mampu bahasa inggris tingkat nilai ajar bahasa inggris bagus saaat uji,Positif
bagus app ya,Netral
bagus suka kayak game ya bahasa inggris duolingo bantu semangat semangat ya duolingo,Positif
banyak iklan,Netral
fun and interesting,Negatif
suka banget,Positif
tarik,Netral
aplikasi bagus lancar ajar bahasa perfecto,Positif
seru aplikasi bantu pintar,Positif
jossssssssss,Netral
bagus bahasa pilih ajar batas,Positif
gamenya ajar bahasa inggris,Positif
belajara bahasa seru asik ajar bosan,Positif
bagus banget aplikasi duolingo ajar bahasa mikir isntal instal aplikasi ya bagus banget sty,Positif
lengkap,Netral
bahasa inggris ku bagus download aplikasi bahasa inggris ku,Positif
senang ajar bhasa cina,Positif
kali dwld moga depan bahasa inggris lancar kuasa bahasa berkat app,Positif
bagus pintar,Positif
energi mending love energi cepat habis,Negatif
aplikasi saran ajar,Positif
bagus langsung tau bahasa inggris,Positif
bagus bikin tau bahasa inggris,Positif
seru bagus,Positif
duolingo terimakasih informasi bantu bahasa inggris terimakasih bantu,Positif
bikin pintar bagus omong bahasa ingrisnya jago banget,Positif
keren,Netral
bagus gratis,Positif
bantu ajar metode senang,Positif
perintah indonesia nih aplikasi pro lgbt didiemin revisi,Positif
seru banget aplikasi ya ajar bahasa minggu lancar bahasa inggris sih recommend banget aplikasi ya,Positif
jelek aplikasi ajar bohong hayu papale pale pale,Positif
deskripsi alam opsional,Negatif
aplikasi bantu ajar bahasa asing,Positif
love,Negatif
duolingo sulit tugas bahasa inggris,Positif
bagus banget bahasa jepang,Positif
bagus belajae bahasa inggris,Positif
very happy,Negatif
woiii erti gua minn,Positif
thank you dev i very happy learn english this is the number one language learning app i hope the developer can reply my rating,Negatif
ajar bagus latih anak,Positif
duolingo bantu ajar bahasa inggris ulang,Positif
bagus,Positif
kerennnnnnn,Netral
bagus dpet hafal bahasa lainn suka banget duoling thanks yhh,Positif
ribet semenjak digantiklo kurang kbnyakan tonton iklan bagus sebwlumnya,Negatif
jelek kandung lgbt,Negatif
main suka,Netral
bantu ajar mudah paham terimakasih asikk,Positif
bantu mudah paham,Positif
aplikasi ajar ku semangat duolingo gratis,Positif
keren tau bahasa inggin,Positif
apk ya bagus bgttjadi gampang ajar bahasa inggris bahasa lainselain ajar bahasa ajar matematika senang banget,Positif
ajar bahasa senang duolingo,Positif
keren dukung ajbt,Netral
sangatt bagus,Positif
seru banget ranking sekolah,Positif
ajar,Positif
ku lancar bahasa inggris,Positif
ku bahasa inggris,Positif
main ajar aplikasi ajar bagus download,Positif
ajar ya seru banget ganggu iklan metode ya cepat paham salah,Positif
aplikasi bantu,Positif
its look nice,Negatif
ajar bahasa inggris duolingo,Positif
mudah keren,Positif
bagus anak ajar bahasa,Positif
gue tinggal lesson salah heart gue habis tolong heart banyak kagak bahasa sunda batere taekkkk,Negatif
hebat,Netral
seru banget sihkeren deh pokok,Positif
bantu ajar bahasa inggris,Positif
bagus guna ajar b inggris,Positif
bantu selesai bahasa,Positif
jawab salah report salah jawab bug,Negatif
bagus faham bahasa,Positif
tau,Netral
aplikasi bantu banget ajar,Positif
seru banget bantu,Positif
pintar bahasa,Positif
senang hibur,Positif
bagus bantu anak terimakasi duolingo,Positif
unsur pelangi mohon hilang unsur,Netral
aplikasi duolingo tarik gampang paham bahasa ajar,Positif
suka lag parah tibatiba peringkat akses nyawa tibatiba ubah,Negatif
bagus bicara bahasa jepang korea inggris,Positif
sumpah aplikasi bantu ajar bahasa bantu thankyou,Positif
tambah ilmu,Netral
very good application,Negatif
aplikasi ya bagus banget,Positif
seru mula,Positif
bagus,Positif
bagus banget aplikasi ajar bahasa mula pokok bintang deh,Positif
baik,Netral
terima kasih duolingo bicara bahasa inggris,Positif
bagus banget ajar,Positif
asyik,Netral
keren banget suka terimaksi aplikasi bantu vocabulary,Positif
bagus latih anak bahasa bagus aplikasi hebat,Positif
bantu,Positif
ajar bahasa,Positif
aplikasi sungguh kejap paham ya,Positif
bagus mula bahasa inggris,Positif
ajar bahasa duolingoaku senang,Positif
bagus ajar bahasa asing,Positif
seru susah anak anak ajar suka,Positif
seru,Positif
mudah dapat hati,Netral
the changing heart energy was really a bad idea im installing this for learn language not watching advertise plus now i cant replay last level,Negatif
kelas banget woyy seru,Positif
the features are great the only thing missing is replacing heart points with energy come on i train myself with accuracy and a fast timeframe not a time limit,Negatif
manfaat,Netral
b,Netral
bagus ajar,Positif
duolingo manfaat singkat padat btw tulis ya typo,Positif
seru ajar aplikasi bantu bahasa asing moga duolingo sukses aaminn,Positif
bantu hafal bahasa,Positif
buat pintarr cerdasjuga prestasi bahasa,Positif
keren ajar bahasa inggris good job,Positif
seru asah otak ajar bahasa suka,Positif
mudah paham bantu,Positif
aneh cok gua selesai ajar hitung cok hari aneh bego hah untung bagus,Netral
suka aplikasi,Positif
suka suka isi power alias langsung main ajar tolong bantu lancar ajar terimakasih,Positif
hebat banyak materi latih ya,Netral
bantu seru jadwal,Positif
bantu sekaliii,Positif
bagus banget apk ya ajar bahasa,Positif
bagus banget aplikasih ya pokok aplikasih baik,Positif
bantu lancar b nggris,Positif
suka aflikasi anak suka ajar,Positif
bagus suka,Positif
bagus banget cocok ajar rumah,Positif
bagus harap guna aplikasi mudah akses gratis,Positif
bagus bangetaku erti bahasa bahasa capai ku bahasa dunia,Positif
guna mula ajar bahasa jepang,Positif
kadang ngelag bagus unsur lgbt,Positif
suka baterai ajar habis arus pakai uang ayo baik,Negatif
bagus banget tambah pintar i love you duolingo,Positif
mantap,Netral
bagus bahasa coba bahasabahasa mandarin spanyol matematika offline guys online,Positif
efisien ajar duolingo,Positif
bagus senang,Positif
duolingo ajar erti erti,Positif
pakenya energi pakenya hati bikin susah salh gr energi habis jdinya paksa,Negatif
bagus,Positif
ajar giat semangat hebat,Positif
bagus,Positif
bagus bantu mula ajar bahasa jalan mula,Positif
pelihara ya akun ku reset selesai runtun ya runtun ya,Netral
jelek fitur baterai ngisi baterai habis ganti fitur fitur baterai busuk kapitalis,Negatif
aplikasi bantu ajar bahasa mandarin mantap nih duolingo,Positif
ajar mmbantu mula,Positif
ajar,Positif
pintar bahasa inggris,Positif
bagus ajar bahasa inggris,Positif
buat lancar bahasa inggris terima kasih duolingo,Positif
keren cepat paham bahasa korea anjaay,Positif
ya sulit,Netral
bagus banget kuasa bahasa suka cepatt,Positif
bagus,Positif
aplikasi bagus orang niat ajar,Positif
apk bagus banget guna banget bahasa inggris hebat,Positif
pintar ajar,Positif
ku b inggris,Positif
bug mas iya ngulang runtuh,Netral
bagus ajar bahasa ingris,Positif
bagus motivasi b elajar anak anak bahasa inggris jerman terimakasih duolingo,Positif
guna ajar,Positif
bagus banget bikin latih bahasa vietnam ku bagus banget bikin latih banget bahasa lengkap,Positif
bagus,Positif
bagus,Positif
bagus ajar bahasa kau ajar,Positif
game ya bagus bilang loh salah mohon perbaikiya,Netral
mantan ajar bahasa yuk ajar bahasa bahasa salam damai,Positif
bantu banget apl ajar ya mudah banget bantu apl keren bikin boring pas ajar,Positif
bantu tambah tahu kosa,Positif
pintar,Positif
didik seru terkadang suara aplikasi jalan,Positif
suka banget,Positif
bantu ajar bahasa,Positif
aplikasi bagus,Positif
good i like,Negatif
ajar ya ngebosenin,Positif
apl bikin tau bahasa inggris,Positif
pokonyaa the bestt,Negatif
vocabulary ikut bimbel bahasa inggris,Positif
ok banget,Positif
lumayan bantu ngapalin kosa inggris thanks aplikasi keren inisemogaa gratisin orang langgan premium nya,Positif
doulingo seru bantu hafal bahasa inggris,Positif
aplikasi bagus sih cuman sih pas ajar tuh habis energi puluh energi loh aneh banget tibatiba hilang,Netral
wow,Netral
bagus cuman apk dukung lgbt,Positif
tiara hobi makan nasi goreng udang,Netral
aplikasi bantu ajar unsur iklan judi online mantap ajar lebih judi online iklan aplikasi,Positif
habis ajar langsung iklantapi trimakasih kasih hati pakai energi boros ya hp ku pakai energihp ku pakai hati,Negatif
aplikasi bagus tarik suka aplikasi lucu,Positif
best,Negatif
ganti pakai hati pakai energi,Negatif
very good apki really like,Negatif
aplikasi ajar bahasa inggris noda unsur lgbt sayang,Positif
bagus ajar b inggris seru,Positif
bahasa inggris alhamdulillah lancar,Positif
very good,Negatif
suka dualingokarena semenjak less inggris ku ajar duolingo,Positif
bantu ajar geng rutin,Positif
bagus bikin pusing iklan,Positif
ajar seru bosan,Positif
aplikasi bagus bantu ajar ingat ajar,Positif
bagus banget ajar music sekolah cepat hapal sekolah ku ajar ya pakai duolingo the best deh pokok,Positif
bagus banget,Positif
aplikasi bagus ajar aplikasi ajar main,Positif
ajar seru banget,Positif
ya bosan,Netral
ajar aplikasi tutup capai hilang,Positif
seru banget ajar,Positif
pakai me good at english,Negatif
duolingo bantu ajar bahasa,Positif
kejo,Netral
duolingo bagus suka duolingo,Positif
aplikasi bagus banget aplikasi bantu ajar bahasa,Positif
suka cerita ajar,Positif
bagusyy bangetssss plajar,Netral
wow keren banget ajar bahasa dengar bicara tulis sa ngat keren harap ajar bahasa jepang mudah,Positif
this app makes me not nervous speak english,Negatif
bagus ajar kuat prestasi,Positif
manfaat mula keren dah,Positif
cerdas,Netral
pokok rekomendasi banget,Positif
bantu ajar bahasa,Positif
kembali sistem hati,Negatif
aplikasi bagus mula,Positif
aplikasi dualingo tau bahasa inggris,Positif
bagus bantu banget bahasa inggris wawwww,Positif
sumpah best salah ku kantor duolingo amerika sekian terimakasih,Negatif
super,Netral
ajar mandarin seru orang ajar cepat hapal hanzi pinyin ya,Positif
the app became worse after changing the heart feature the energy feature,Negatif
bantu ajar bahasa,Positif
gamenya cocok kuliah sekolah bahasa inggris,Positif
bagus banget simpel ajar,Positif
sok,Negatif
duolingo bahasa inggris,Positif
bantu ajar bahasa,Positif
senang banget seru seru,Positif
seru lucu duolingoburung hantu ijo lucu,Positif
bagus bantu bagett,Positif
bagus banget coba malas latih,Positif
gampang menghapal,Positif
duolingo ku maintenance ya,Positif
bagus mudah hapal,Positif
bagus banget pintar bahasa inggris,Positif
apknya bagus bangetaku semangat ajar bahasa asing apk mudah paham ajar bahasa asing peluma,Positif
iklan fitur energi buruk bugsebelumnya energi ya menit buka aplikasi energi ya tinggal,Negatif
apknya buka daftar eh lanjut,Netral
cocok ajar masuk less inggris hehe,Positif
bagus cepat paham bahasa ya tulis buku erti senang deh terimakasih duolingo,Positif
bantu ajar,Positif
bantu mula,Positif
suka banget deng ajar duolingoa ajar bahasa ingir,Positif
suka ajar bahasa,Positif
mending pakai hati energiii,Negatif
tkw malaysia,Netral
konsep hati rubah energi ajar batas,Negatif
apliksii ya bagus cumann ajar ngulang doangg nih apkasii bendara pelangi tidakk banget memplji istri istri,Positif
duolingo guna bahasa negara,Positif
suka ajar duolingo duolingokarena lumayan bahasa jepang doang senang duolingo,Positif
kembali sistim hati sistim energi kualitas ajar buruk nyaman hambat ajar ditengahtengah main,Negatif
senang ajar bahasa duolingo ajar ya susah senang ajar ku bahagia,Positif
seru banget main catur doulingo the best deh,Netral
ajar mudah praktisdan seru,Positif
aplikasi ya bagus ajar bahasa bahasa inggris,Positif
bantu kembang mampu bahasa inggris pelan pelan,Positif
bimbing simpel rurut mudah thanks duolingo,Positif
seru banget,Positif
ya meng ingat ku ajar,Positif
seru ajar ya ngebosenin ajar huruf bahasa asing biar tempel ajar ya susah bawa enjoy,Positif
suka mapel binggris gra aplikasi,Positif
duolingo energy update,Negatif
aplikasi kereeeenn bangeeett uwaaaaa suka bantu banget kayak les gratis bintang kasiih makasii ya duolinggo,Positif
bagus bingitzz aplikasi ya,Positif
aplikasi guna,Positif
gampang fluent bahasa,Positif
lumayan seru ajar bahasa,Positif
veryy good,Negatif
game seru ajar bahasa inggris i love this game,Positif
bagus suka,Positif
suka seru ajar bahasa asing,Positif
duolingo bantu asah mampu bahasa inggris,Positif
keren aplikasi ajar bahasa ulang ajar bab ajar,Positif
i love this app,Negatif
the application is fun like a game but i dont like when ads appear but because the application is helps me learn foreign languages more easily,Negatif
mantap ajar rebah pokok best coba apps saran,Negatif
bagus banget plisss mager ajar bahasa inggris bosantapi pas ajar bosan samsek ajar seru senang,Positif
apk ya bagus baharu baru bagus sistem energi,Negatif
duolingo bagus nilai bahasa inggris ajar duolingo,Positif
update baru jelek,Negatif
hai duolingo runtun ku mati hidup ya duolingo buka mohon cepat runtuan ku hilang terimakasih,Positif
ajar bahasa apa senang,Positif
ajar main mudah paham ajar,Positif
bagus banget ajar,Positif
the application is good but the new energy system kills the spirit of learning bring back the heart,Negatif
pokok bagus banget,Positif
ngebug runtut kali ngerjain jalan jalan progressnya maintenance,Netral
senang ajar duolingo,Positif
seru banget ajar duolingo,Positif
cocok ajar bahasa,Positif
bantu banget,Positif
mudah paham jelas ya,Positif
jelek,Negatif
kenal bahasa ajar senang ajar duolingo cipta,Positif
mua,Netral
gua suruh asih tau eimel gua cuman ulang senin,Netral
mantap,Netral
bantu ajar bahasa inggris aplikasi cocok anakanak bahasa inggris,Positif
bantu mudah thankyou duolingo,Positif
the apk is good but the energy system is not good,Negatif
cocok anakanak orang dewasa,Positif
suka,Netral
omg gampang banget ajar bahasa inggris pakai duolingo,Positif
bagus banget ajar kursus matematika bahasa inggrispokoknya duolingo bagus deh,Positif
bagus es,Positif
duolingo sagat seru hebat,Positif
bagus lebihh paham,Positif
bagus bantu ajar bahasa inggris,Positif
suka aplikasi duolingo duolingo ajar bahasa asing,Positif
bahasa inggris,Positif
bantu suka pokok the best buagus poll,Negatif
seru banget ajar aplikasi inigk bikin bosandan mudah banget mengertipokoknya the best recommended banget sih,Positif
bagus aplikasi inisaya bahasa inggris download gratis,Positif
im very enjoy thank you,Negatif
bagus banget mula,Positif
bagus bikin pintar anak,Positif
tarik,Netral
batu anak ajar bahasa inggris,Positif
asik,Netral
duolingo bahasa inggris kagum,Positif
aplikasi bug energi cepat habis bikin emosi,Negatif
oke,Netral
bagus asih saran ajar pakai lagu bahasa inggris populer hafal kosakata,Positif
bantu energi ya tolong cepat,Negatif
pintar,Positif
bagus bantu banget ajar bahasa asing,Positif
ku sih keren seru suka,Positif
senang energi batas,Negatif
bagus mtk bahasa ingris,Positif
duolingo senang seru,Positif
bagusbikin pintar,Positif
seru banget ajar main,Positif
bagus banget les matematika china,Positif
suka ajar bahasa inggris,Positif
bagus mula ajar,Positif
duolingo bantu ajar bahasa ajar seru banget,Positif
nyawa pakai hati sih pakai energi turut boros banget ngisi energi beli pakai diamond ya tonton iklan,Negatif
great,Negatif
ajar bahasa inggris mudah,Positif
salah aplikasi butuh ajar,Positif
bikin pintar bahasa inggris,Positif
keran,Negatif
seru banget,Positif
bahasa inggris ajar duolingo,Positif
baguuusss banget,Positif
kes aplikasi ajar tahu,Positif
bagus mudah erti,Positif
game bantu ajar bahasa inggris temu rekomendasi game ajar bahasa inggris,Positif
bantu ajar,Positif
hebat,Netral
aplikasi ku guna ajar bahasa asing mudah aplikasi bagus ajar ajar bahasa asing,Positif
bagus anak,Positif
aplikasi senang,Positif
seru banget pas ajar duolingo ajar main,Positif
mu diri bahasa inggris,Positif
sangaat guna sangatt tarik suka,Netral
seru main pasti seru,Positif
seru banget,Positif
bagus main seru mengasaotak,Positif
bagus ajar bahasa inggris mudah paham,Positif
bagus mudah ajar,Positif
aneh pas suruh omong pakai bahasa inggris salah omong aneh aneh benerin,Negatif
apk bagus gampang erti,Positif
duolingo buka uninstall download pelihara cepat,Positif
unsur jomok ya aplikasi kikir banget kayak yahudi ajg,Netral
bahasa thailand,Positif
aplikasi mantap ulang ulang mantap,Positif
seru aplikasi nya,Positif
hai duolingo maaf kadang lupa misi senang aplikasi bagus kualitas deh pokok suka banget,Positif
bantu ajar bahasa,Positif
ajar kandung lgbt,Positif
saran ku les nyanyi,Netral
seru banget ajar duolingo max,Positif
nice for the biginning student lesson english,Negatif
keren,Netral
seru banget lancar bahasa inggris pokok ajar duolingo seru banget,Positif
dasar aplikasi lgbt,Positif
mantap cerdas iklan,Netral
bagus banget widgett nya,Positif
bagus bantu,Positif
